,M2: Simple Lagged Network (t-4Q),7d330234,ed51da28,8e338c55,b4f04079,d0eeaec1,d8167c3f,509da603,d8eb9a06,9668b710,8c228f20,afa1a440,0bc1cd9e,b8126291,e325f6da,3ec3edb4,0e9036a0,62a8c42c,6127fc17,859ec2e6,fd3d2e4f,58d7f342,d6a6eef0,9d33896b,a9458246,f5606bc4,f2b88962,16573b01,9ebe2308,d340bd76,d236b068,7f1da08c,66c25baa,dad181ac,7487246f,493f8a87,5a51f1df,c2b91e3e,ef728c27,27afcd0a,901d777e,ea5bd35b,b750c9f6,b1881eb1,42fa3a2a,e1dd2140,aa69de9a,74319d87,4aa3e0fb,961d2a2a,b285fe60,70d321ab,8f58c61b,a0784592,66ec6e98,99d42954,f5be755c,df1f72b3,5eb1fd0a,9cb4bde4,c06f0561,e305ef99,37ad6039,d821b000,c8644807,83b4f56b,9cc3e015,e6f7673a,0845ec31,bbd28ff0,25273f10,aab61722,ef50a354,bd2d9c9d,e79f870c,57403f97,d0740966,a205a28a,7d4a7224,7728d06c,902c31ba,acbd1322,4765e13a,d31bfc7f,5a0c0f29,M1: Temporal FCR (Scaled),M2: + Bank Controls,M4: Full Model + Ownership,M3: + Network Controls,M1: Temporal FCR (Scaled),M1: Baseline (FCR Only),M5: Full + Stratified,a101fa1a,f3e49b22,152f5e46,M6: EPU Interactions (Crisis Adaptation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M6: EPU Interactions (Crisis Adaptation),M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,EPU Interactions (Full),M3: Internal Capital (Group Assets),EPU Interactions (Full),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),Sector Stratification,M10: H3++ Deep Structural Proxies,M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M3: Internal Capital (Group Assets),Sector Stratification,M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,H3+ Enhanced (Capital & Diversification),M9: Full Mechanism + Community Stratification,M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M2: Tax Optimization (Stake Fragmentation),M2: Tax Optimization (Stake Fragmentation)
Log Likelihood,-2880.65,-416.26,-2880.65,-2880.65,-348.12,-2295.65,-2287.35,-2295.65,-348.12,-2326.07,-2311.67,-2308.39,-2308.39,-2293.02,-2295.65,-2311.67,-2295.65,-2293.02,-2326.07,-2293.02,-2308.39,-2295.65,-2326.07,-2311.67,-4834.46,-4826.44,-4828.34,-4825.89,-4828.28,-4827.86,-248.22,-248.22,-248.22,-416.26,-4507.92,-4646.21,-4511.13,-4566.79,-4534.65,-4507.92,-4755.29,-4602.83,-4710.19,-4627.37,-4720.07,-4747.66,-2895.57,-2908.50,-2902.58,-4681.51,-4679.78,-4676.65,-4617.58,-4631.24,-4668.37,-3812.83,-4838.03,-3812.29,-4838.68,-3812.29,-3813.08,-4838.02,-4840.18,-3813.06,-3812.83,-4840.18,-4837.91,-4837.96,-4838.67,-3811.89,-4836.76,-3810.90,-4838.95,-3813.06,-3811.89,-3810.90,-3813.08,-4838.95,-4836.72,-4822.80,-4844.20,-4939.82,-4869.89,-4820.12,-4820.12,-8179.87,-8218.70,-8179.87,-8182.73,-8179.87,-8377.09,-8107.96,-3617.89,-995658.08,-23517.87,-4841.60,-4842.84,-4853.71,-4874.31,-4841.86,-4841.72,-4874.31,-4853.71,-4874.31,,-4874.31,-4841.60,-4853.71,-4858.84,-4853.71,,-4858.84,-4841.72,-4841.86,,,-4874.31,-4841.86,-4841.86,-4874.31,,-4841.86,-4839.03,-4858.84,-4839.03,,,,-4874.31,-4853.71,-4125.19,-4837.16,,,-4853.71,-4858.84,,,-4858.84,-4125.19,-4841.86,-4841.72,-4842.84,-4841.60,-4858.84,,-4841.72,-4842.84,-4841.72,-3465.18,-4858.84,-4841.86,,,-4841.72,-4853.71,
AIC Partial,5775.30,,5775.30,5775.30,712.25,4607.29,4590.71,4607.29,712.25,4658.14,4633.34,4628.78,4628.78,4610.04,4607.29,4633.34,4607.29,4610.04,4658.14,4610.04,4628.78,4607.29,4658.14,4633.34,9686.91,9682.88,9682.67,9685.77,9684.55,9683.72,,,,,9041.85,9300.41,9044.26,9147.58,9087.29,9041.85,,,,,,,5809.15,5827.00,5823.16,9371.02,9371.57,9365.31,9261.15,9276.49,9348.75,7647.67,9702.05,7646.59,9703.35,7646.59,7644.15,9706.04,9698.36,7646.12,7647.67,9698.36,9705.83,9701.92,9707.34,7645.77,9707.53,7647.80,9701.89,7646.12,7645.77,7647.80,7644.15,9699.90,9715.43,,,,,,,16377.74,16445.41,16377.74,16377.46,16377.74,16756.19,16233.92,7241.78,1991322.15,47037.74,9705.19,9701.68,9719.42,9758.62,9701.72,9705.44,9758.62,9719.42,9758.62,,9758.62,9705.19,9719.42,9729.68,9719.42,,9729.68,9705.44,9701.72,,,9758.62,9701.72,9701.72,9758.62,,9701.72,9706.07,9729.68,9706.07,,,,9758.62,9719.42,8262.38,9698.32,,,9719.42,9729.68,,,9729.68,8262.38,9701.72,9705.44,9701.68,9705.19,9729.68,,9705.44,9701.68,9705.44,6952.36,9729.68,9701.72,,,9705.44,9719.42,
-log2(p) LLR,85.30,,85.30,85.30,27.08,165.75,166.02,165.75,27.08,136.82,151.26,153.09,153.09,159.70,165.75,151.26,165.75,159.70,136.82,159.70,153.09,165.75,136.82,151.26,83.25,82.68,83.75,80.01,82.01,82.57,,,,,290.43,119.33,291.26,223.62,263.53,290.43,,,,,,,51.71,41.78,51.26,69.13,66.80,71.16,137.48,132.38,82.72,51.16,75.47,51.87,74.61,51.87,54.32,72.03,80.20,52.56,51.16,80.20,72.17,75.56,71.18,52.40,70.40,50.46,76.05,52.56,52.40,50.46,54.32,77.92,64.44,,,,,,,261.78,221.62,261.78,266.61,261.78,1.18,263.28,62.54,-0.00,47.80,116.83,121.91,111.59,85.08,120.92,116.66,85.08,111.59,85.08,,85.08,116.83,111.59,104.36,111.59,,104.36,116.66,120.92,,,85.08,120.92,120.92,85.08,,120.92,114.15,104.36,114.15,,,,85.08,111.59,21.86,120.80,,,111.59,104.36,,,104.36,21.86,120.92,116.66,121.91,116.83,104.36,,116.66,121.91,116.66,69.87,104.36,120.92,,,116.66,111.59,
C-index,0.728,,0.728,0.728,0.698,0.725,0.726,0.725,0.651,0.699,0.702,0.700,0.700,0.724,0.725,0.702,0.725,0.724,0.699,0.724,0.700,0.725,0.699,0.702,0.693,0.627,0.615,0.627,0.615,0.615,,,,,0.765,0.642,0.764,0.715,0.744,0.765,,,,,,,0.648,0.646,0.648,0.644,0.651,0.668,0.780,0.772,0.698,0.691,0.697,0.691,0.697,0.691,0.695,0.696,0.694,0.691,0.691,0.694,0.698,0.699,0.696,0.687,0.699,0.687,0.696,0.691,0.687,0.687,0.695,0.697,0.699,,,,,,,0.610,0.551,0.610,0.600,,0.500,0.610,0.779,0.167,0.550,0.746,0.733,0.744,0.695,0.757,0.750,0.695,0.744,0.695,,0.695,0.746,0.744,0.733,0.744,,0.733,0.750,0.757,,,0.695,0.757,0.757,0.695,,0.757,0.740,0.733,0.740,,,,0.695,0.744,0.583,0.761,,,0.744,0.733,,,0.733,0.583,0.757,0.750,0.733,0.746,0.733,,0.750,0.733,0.750,0.743,0.733,0.757,,,0.750,0.744,
const,,4.052 (2.625),,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.059 (nan),22.059 (nan),30.494 (nan),4.052 (2.625),,,,,,,-5.523*** (0.045),-4.809*** (0.055),-5.377*** (0.051),-4.865*** (0.055),-5.329*** (0.049),-5.499*** (0.049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.272*** (0.055),-5.320*** (0.054),-5.754*** (0.045),-5.459*** (0.054),-5.264*** (0.055),-5.264*** (0.055),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network_out_degree,,-0.037*** (0.011),,,-0.294* (0.128),-0.477*** (0.090),-0.476*** (0.090),-0.477*** (0.090),,-0.584*** (0.088),-0.578*** (0.089),-0.484*** (0.089),-0.484*** (0.089),-0.472*** (0.090),-0.477*** (0.090),-0.578*** (0.089),-0.477*** (0.090),-0.472*** (0.090),-0.584*** (0.088),-0.472*** (0.090),-0.484*** (0.089),-0.477*** (0.090),-0.584*** (0.088),-0.578*** (0.089),,,,,,,-0.133 (nan),-0.133 (nan),,-0.037*** (0.011),-0.291*** (0.048),,-0.293*** (0.047),-0.294*** (0.046),-0.300*** (0.046),-0.291*** (0.048),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.267*** (0.055),-0.279*** (0.054),,-0.276*** (0.053),-0.267*** (0.056),-0.267*** (0.056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network_page_rank,,0.542*** (0.062),,,-0.011 (0.012),-0.012+ (0.007),-0.013+ (0.007),-0.012+ (0.007),,,,-0.016* (0.007),-0.016* (0.007),-0.013+ (0.007),-0.012+ (0.007),,-0.012+ (0.007),-0.013+ (0.007),,-0.013+ (0.007),-0.016* (0.007),-0.012+ (0.007),,,,,,,,,0.031 (nan),0.031 (nan),,0.542*** (0.062),-0.015* (0.006),,-0.014* (0.006),-0.027*** (0.007),-0.020** (0.006),-0.015* (0.006),,0.002 (0.005),,-0.001 (0.005),,,,,,,,,-0.006** (0.002),-0.006** (0.002),,,,,,,,,,,,,,,,,,,,,,,,,,-0.010 (0.006),-0.017* (0.007),,-0.023** (0.007),-0.011 (0.006),-0.011 (0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_FOP,,-0.008 (0.006),,,-0.012+ (0.007),-0.003 (0.004),-0.003 (0.004),-0.003 (0.004),-0.012+ (0.007),,,,,-0.003 (0.004),-0.003 (0.004),,-0.003 (0.004),-0.003 (0.004),,-0.003 (0.004),,-0.003 (0.004),,,,,,,,,-0.015 (nan),-0.015 (nan),-0.015 (nan),-0.008 (0.006),-0.004 (0.003),,-0.004 (0.003),,-0.004 (0.003),-0.004 (0.003),,-0.004 (0.003),,,-0.003 (0.003),,,,,,,,-0.003* (0.001),,-0.003* (0.001),,,,,,,,,,,,,,,,,,,,,,,,,-0.005 (0.003),-0.005 (0.003),,,-0.005 (0.003),-0.005 (0.003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIC,,850.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.44,544.44,544.44,850.53,,,,,,,9520.59,9233.67,9434.37,9270.73,9454.13,9509.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9669.60,9708.40,9889.64,9755.77,9668.24,9668.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUC,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.930,0.930,0.930,0.874,,,,,,,0.639,0.719,0.690,0.709,0.674,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.719,0.703,0.642,0.685,0.719,0.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimal Threshold,,0.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.695,0.695,0.695,0.470,,,,,,,0.018,0.015,0.022,0.025,0.019,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.020,0.015,0.024,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873,0.873,0.873,0.845,,,,,,,0.985,0.982,0.988,0.989,0.986,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992,0.990,0.988,0.992,0.993,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision,,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.963,0.963,0.963,0.879,,,,,,,0.035,0.032,0.041,0.044,0.036,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.036,0.030,0.042,0.047,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recall,,0.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818,0.818,0.818,0.856,,,,,,,0.070,0.089,0.059,0.058,0.065,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.058,0.065,0.047,0.044,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1 Score,,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885,0.885,0.885,0.867,,,,,,,0.047,0.047,0.049,0.050,0.046,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.044,0.041,0.044,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network_out_degree_within,,,,,,,,,-0.313* (0.136),,,,,,,,,,,,,,,,,,,,,,,,-0.133 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network_page_rank_within,,,,,,,,,-0.013 (0.014),,,,,,,,,,,,,,,,,,,,,,,,0.034 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel_liquid_assets_ratio,,,,,,,,,,,,,,0.010 (0.008),,,,0.010 (0.008),,0.010 (0.008),,,,,,,,,,,,,,,0.056 (0.500),0.372 (0.486),0.053 (0.500),0.130 (0.497),0.158 (0.497),0.056 (0.500),-0.197 (0.627),-0.927 (0.697),-0.531 (0.655),-0.855 (0.691),-0.286 (0.634),-0.267 (0.641),,,,0.325 (0.280),0.321 (0.280),0.312 (0.280),0.242 (0.280),0.252 (0.280),0.320 (0.280),,,,,,,,,,,,,,,,,,,,,,,,,-1.377 (0.830),-1.214 (0.819),-0.635 (0.729),-1.120 (0.791),-1.375 (0.831),-1.375 (0.831),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_SOP,,,,,,,,,,,,,,-0.014 (0.011),,,,-0.014 (0.011),,-0.014 (0.011),,,,,,,,,,,,,,,-0.020 (0.012),,,,,-0.020 (0.012),,-0.023 (0.017),,,,-0.027 (0.023),,,,,-0.004 (0.003),,-0.004 (0.003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018 (0.013),-0.018 (0.013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_SCP,,,,,,,,,,,,,,0.008 (0.013),,,,0.008 (0.013),,0.008 (0.013),,,,,,,,,,,,,,,0.000 (0.000),,,,,0.000 (0.000),,0.000* (0.000),,,,-0.000 (0.000),,,,,-0.000 (0.000),,-0.000 (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000 (0.000),0.000 (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign_FOP_t,,,,,,,,,,,,,,0.015 (0.014),,,,0.015 (0.014),,0.015 (0.014),,,,,,,,,,,,,,,0.000 (0.000),,0.000 (0.000),,,0.000 (0.000),,0.000* (0.000),-0.000 (0.000),,,,,,,,,-0.000 (0.000),0.000 (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000 (0.000),,,,-0.000 (0.000),-0.000 (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_connection_ratio,,,,,,,,,,,,,,,,,,,,,,,,,-0.011*** (0.003),-0.010*** (0.003),-0.011*** (0.003),-0.010*** (0.003),-0.011*** (0.003),-0.011*** (0.003),,,,,,,,,,,,,,,,,-0.012*** (0.003),-0.014*** (0.003),-0.012*** (0.003),,,,,,,-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.010*** (0.003),-0.011*** (0.003),-0.010*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.010*** (0.003),-0.010*** (0.003),-0.011*** (0.003),-0.011*** (0.003),-0.011*** (0.003),,,,,,,,,,,,,,,,,-0.077** (0.024),-0.075** (0.024),-0.089*** (0.023),-0.113*** (0.023),-0.075** (0.024),-0.078*** (0.023),-0.113*** (0.023),-0.089*** (0.023),-0.113*** (0.023),-0.098**,-0.113*** (0.023),-0.077** (0.024),-0.089*** (0.023),-0.092*** (0.023),-0.089*** (0.023),-0.077***,-0.092*** (0.023),-0.078*** (0.023),-0.075** (0.024),-0.113***,-0.075***,-0.113*** (0.023),-0.075** (0.024),-0.075** (0.024),-0.113*** (0.023),-0.075***,-0.075** (0.024),-0.077** (0.024),-0.092*** (0.023),-0.077** (0.024),-0.114***,-0.119***,-0.148***,-0.113*** (0.023),-0.089*** (0.023),-0.032 (0.024),-0.070** (0.024),-0.119***,-0.097**,-0.089*** (0.023),-0.092*** (0.023),-0.148***,-0.114***,-0.092*** (0.023),-0.032 (0.024),-0.075** (0.024),-0.078*** (0.023),-0.075** (0.024),-0.077** (0.024),-0.092*** (0.023),-0.098**,-0.078*** (0.023),-0.075** (0.024),-0.078*** (0.023),-0.057* (0.024),-0.092*** (0.023),-0.075** (0.024),-0.102***,-0.092***,-0.078*** (0.023),-0.089*** (0.023),-0.089***
family_ownership_pct,,,,,,,,,,,,,,,,,,,,,,,,,-0.004** (0.001),-0.003* (0.001),-0.004** (0.001),-0.003* (0.001),-0.004** (0.001),-0.004** (0.001),,,,,,,,,,,,,,,,,-0.003+ (0.002),,-0.003+ (0.002),,,,,,,-0.004* (0.002),-0.003** (0.001),-0.004* (0.002),-0.003** (0.001),-0.004* (0.002),-0.004* (0.002),-0.003** (0.001),-0.003** (0.001),-0.004* (0.002),-0.004* (0.002),-0.003** (0.001),-0.003** (0.001),-0.003** (0.001),-0.003** (0.001),-0.003* (0.002),-0.003** (0.001),-0.003* (0.002),-0.003** (0.001),-0.004* (0.002),-0.003* (0.002),-0.003* (0.002),-0.004* (0.002),-0.003** (0.001),-0.003** (0.001),,,,,,,-0.003 (0.002),,-0.003 (0.002),,-0.003 (0.002),,-0.003 (0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_ownership_pct,,,,,,,,,,,,,,,,,,,,,,,,,-0.005 (0.003),-0.005 (0.003),-0.005 (0.003),-0.004 (0.003),-0.005 (0.003),-0.004 (0.003),,,,,,,,,,,,,,,,,-0.006 (0.004),-0.006 (0.004),-0.006 (0.004),,,,,,,-0.004 (0.003),-0.004 (0.003),-0.005 (0.003),-0.004 (0.003),-0.005 (0.003),-0.005 (0.003),-0.004 (0.003),-0.004 (0.003),-0.005 (0.003),-0.004 (0.003),-0.004 (0.003),-0.004 (0.003),-0.004 (0.003),-0.004 (0.003),-0.005 (0.003),-0.004 (0.003),-0.004 (0.003),-0.004 (0.003),-0.005 (0.003),-0.005 (0.003),-0.004 (0.003),-0.005 (0.003),-0.004 (0.003),-0.004 (0.003),,,,,,,-0.013 (0.009),,-0.013 (0.009),,-0.013 (0.009),,-0.013 (0.009),,,,,,,,-0.038+ (0.022),-0.038+ (0.022),,,,-0.051,,,,,,,,-0.038+ (0.022),-0.038+ (0.022),,-0.038*,,-0.038+ (0.022),-0.038+ (0.022),,,-0.038+ (0.022),-0.037+ (0.022),,-0.037+ (0.022),,,,,,,-0.039+ (0.022),,,,,,,,,-0.038+ (0.022),-0.038+ (0.022),,,,-0.051,-0.038+ (0.022),,-0.038+ (0.022),-0.035 (0.022),,-0.038+ (0.022),,,-0.038+ (0.022),,
foreign_ownership_total_pct,,,,,,,,,,,,,,,,,,,,,,,,,-0.002 (0.007),-0.002 (0.007),-0.002 (0.007),-0.002 (0.007),-0.002 (0.007),-0.002 (0.007),,,,,,,,,,,,,,,,,0.000 (0.014),0.001 (0.014),0.000 (0.014),,,,,,,0.000 (0.009),-0.004 (0.007),-0.004 (0.009),-0.002 (0.007),-0.004 (0.009),0.000 (0.009),-0.004 (0.007),-0.002 (0.007),0.000 (0.009),0.000 (0.009),-0.002 (0.007),-0.002 (0.007),-0.002 (0.007),-0.002 (0.007),0.000 (0.009),-0.004 (0.007),-0.004 (0.009),-0.002 (0.007),0.000 (0.009),0.000 (0.009),-0.004 (0.009),0.000 (0.009),-0.002 (0.007),-0.004 (0.007),,,,,,,0.011 (0.009),,0.011 (0.009),,0.011 (0.009),,0.008 (0.010),,,,,,,,-0.007 (0.022),-0.007 (0.022),,,,-0.001,,,,,,,,-0.007 (0.022),-0.007 (0.022),,-0.007,,-0.007 (0.022),-0.007 (0.022),,,-0.007 (0.022),-0.006 (0.022),,-0.006 (0.022),,,,,,,-0.007 (0.022),,,,,,,,,-0.007 (0.022),-0.007 (0.022),,,,-0.001,-0.007 (0.022),,-0.007 (0.022),-0.010 (0.022),,-0.007 (0.022),,,-0.007 (0.022),,
governor_nabiullina,,,,,,,,,,,,,,,,,,,,,,,,,,0.002*** (0.001),0.002** (0.001),0.002*** (0.001),0.002** (0.001),0.002** (0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crisis_2004,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000 (0.003),-0.000 (0.003),-0.000 (0.003),-0.000 (0.003),-0.000 (0.003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000 (0.003),,,,,-0.000 (0.003),,-0.000 (0.003),,,,-0.000 (0.003),,,,,,-0.000 (0.003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crisis_2008,,,,,,,,,,,,,,,,,,,,,,,,,,0.001 (0.001),0.001 (0.001),0.001 (0.001),0.001 (0.001),0.001 (0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,0.001 (0.001),,0.001 (0.001),,,0.001 (0.001),,,,,0.001 (0.001),0.001 (0.001),0.001 (0.001),,0.001 (0.001),,0.001 (0.001),,,,,0.001 (0.001),0.001 (0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crisis_2014,,,,,,,,,,,,,,,,,,,,,,,,,,0.001 (0.001),0.001 (0.001),0.001 (0.001),0.001 (0.001),0.001 (0.001),,,,,,,,,,,,,,,,,,,,,,,,,,-0.000 (0.001),0.001 (0.001),-0.000 (0.001),0.001 (0.001),-0.000 (0.001),,0.001 (0.001),,-0.000 (0.001),-0.000 (0.001),,0.001 (0.001),0.001 (0.001),0.001 (0.001),-0.000 (0.001),0.001 (0.001),-0.000 (0.001),0.001 (0.001),-0.000 (0.001),-0.000 (0.001),-0.000 (0.001),,0.001 (0.001),0.001 (0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_connection_ratio_x_governor,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006+ (0.003),,-0.006+ (0.003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_ownership_pct_x_governor,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001 (0.002),,-0.001 (0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_ownership_pct_x_governor,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004 (0.004),,-0.004 (0.004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign_ownership_total_pct_x_governor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004 (0.013),0.005 (0.013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
